pair_id,resume_id,job_id,resume_text,job_description,match_score,normalized_score,notes
47,R047,J104,"Software engineer Python Flask APIs unit tests","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",1,0.2,"Technical role mismatch"
48,R048,J104,"Pre-sales demos telecom connectivity proposals account growth contract renewals","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",5,1.0,"Very relevant sales and telecom mix"
49,R049,J105,"Enterprise cloud sales AWS Azure GCP digital transformation managed services leadership","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",5,1.0,"Strong cloud sales leadership fit"
50,R050,J105,"Project coordinator documentation meeting minutes scheduling expense tracking","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",1,0.2,"Administrative profile not aligned"
51,R051,J105,"Channel partner management cloud solutions GTM strategic accounts revenue growth","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",5,1.0,"Excellent strategic cloud GTM fit"
52,R052,J105,"Presales architect cloud migration solution design customer workshops proposal support","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",4,0.8,"Strong domain knowledge with partial sales leadership"
53,R053,J105,"Insurance sales branch targets customer onboarding field visits","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",2,0.4,"Sales experience but not digital or cloud"
54,R054,J105,"Business development telecom digital products negotiations partnerships executive reporting","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",4,0.8,"Good business development overlap"
55,R055,J105,"Technical support helpdesk ticket resolution desktop troubleshooting","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",1,0.2,"Support background not sales leadership"
56,R056,J105,"Consultative selling enterprise IT solutions customer success renewals expansion","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",4,0.8,"Good consultative selling skills"
57,R057,J106,"Site acquisition lease management landlord negotiation permits vendor sourcing operations","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",5,1.0,"Strong direct fit for site sourcing"
58,R058,J106,"Frontend React Redux CSS testing","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",1,0.2,"Software skills unrelated"
59,R059,J106,"Procurement purchase orders vendor evaluation contract management compliance","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",4,0.8,"Strong procurement relevance"
60,R060,J106,"Facilities manager maintenance planning office setup utilities security supervision","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",4,0.8,"Good facilities operations fit"
61,R061,J106,"Construction project coordination site survey permits contractors budgeting","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",5,1.0,"Excellent site operations fit"
62,R062,J106,"Data analyst SQL dashboards Excel Power BI reporting","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",1,0.2,"Analyst profile mismatch"
63,R063,J106,"Warehouse operations logistics inventory vendor coordination procurement","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",3,0.6,"Operationally relevant but not site-focused"
64,R064,J106,"Telecom tower site rollout landlord agreements documentation field coordination","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",5,1.0,"Highly relevant telecom site background"
65,R065,J107,"Customer service supervisor team coaching KPIs complaint handling branch operations","Customer Assistant Centre Manager role leading customer service center operations and team performance",5,1.0,"Direct people and service leadership fit"
66,R066,J107,"Software QA test automation Selenium defect reports","Customer Assistant Centre Manager role leading customer service center operations and team performance",1,0.2,"Not a customer operations profile"
67,R067,J107,"Call center manager workforce planning SLA service quality escalation management","Customer Assistant Centre Manager role leading customer service center operations and team performance",5,1.0,"Strong center management fit"
68,R068,J107,"Sales promoter retail telecom SIM cards activation upselling","Customer Assistant Centre Manager role leading customer service center operations and team performance",3,0.6,"Relevant telecom customer exposure but limited management"
69,R069,J107,"Receptionist front desk customer greeting appointment booking office support","Customer Assistant Centre Manager role leading customer service center operations and team performance",2,0.4,"Customer-facing but not managerial"
70,R070,J107,"Branch service operations coaching reporting customer satisfaction telecom support","Customer Assistant Centre Manager role leading customer service center operations and team performance",4,0.8,"Good service operations alignment"
71,R071,J107,"Collections officer customer follow-up payment reminders dispute handling","Customer Assistant Centre Manager role leading customer service center operations and team performance",2,0.4,"Some customer handling but different function"
72,R072,J107,"Regional customer service lead multi-branch supervision KPI improvement root cause analysis","Customer Assistant Centre Manager role leading customer service center operations and team performance",5,1.0,"Excellent leadership fit"
73,R073,J108,"Telecom regulations licensing compliance authority liaison legal documentation policy review","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",5,1.0,"Direct regulatory domain match"
74,R074,J108,"Backend developer Node.js Express MongoDB APIs","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",1,0.2,"Developer mismatch"
75,R075,J108,"Corporate legal officer contracts compliance stakeholder communication reporting","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",4,0.8,"Strong compliance background"
76,R076,J108,"Government relations public affairs permits advocacy telecom industry updates","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",5,1.0,"Highly aligned external affairs background"
77,R077,J108,"Internal auditor risk assessment compliance review controls reporting","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",3,0.6,"Relevant compliance skills but domain unspecified"
78,R078,J108,"Office administrator travel booking invoices filing meeting support","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",1,0.2,"Administrative profile not relevant"
79,R079,J108,"Policy analyst regulatory research documentation stakeholder consultations report writing","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",4,0.8,"Strong policy and documentation overlap"
80,R080,J108,"Legal counsel telecom contracts licensing dispute resolution compliance advisory","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",5,1.0,"Excellent legal and telecom fit"
81,R081,J101,"Information architecture user persona journey mapping card sorting Figma prototype usability","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",5,1.0,"Strong UX research sample"
82,R082,J101,"Graphic designer Canva Photoshop social media posts banners","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",2,0.4,"Visual design only, weak UX depth"
83,R083,J102,"Full stack engineer React Python PostgreSQL Redis Celery APIs CI/CD","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",4,0.8,"Strong engineering fit with limited AI"
84,R084,J102,"DevOps engineer AWS Docker Kubernetes Terraform monitoring","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",3,0.6,"Infrastructure fit but not full-stack AI"
85,R085,J103,"Field engineer telecom rollout access network installation maintenance team lead","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",4,0.8,"Good field telecom experience"
86,R086,J103,"Electrical maintenance technician repair tools safety checks","Deputy Chief Engineer role overseeing transmission, access network, operations, and maintenance activities",2,0.4,"Some technical relevance but not telecom management"
87,R087,J104,"Account executive enterprise internet leased line managed network upselling CRM","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",5,1.0,"Strong telecom B2B account fit"
88,R088,J104,"Teacher classroom management lesson planning grading student mentoring","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",1,0.2,"No commercial alignment"
89,R089,J105,"Regional sales head cloud products partnerships pipeline governance forecasting","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",5,1.0,"Excellent leadership and forecasting fit"
90,R090,J105,"Business analyst requirements workshops BPMN documentation dashboards","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",2,0.4,"Adjacent business role with weak sales fit"
91,R091,J106,"Real estate coordinator lease review site visits landlord communication document control","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",4,0.8,"Good landlord and lease exposure"
92,R092,J106,"Accountant AP AR reconciliations tax filing Excel","Site and Sourcing Manager role handling nationwide site sourcing, facilities, procurement, and operational coordination",1,0.2,"Finance profile mismatch"
93,R093,J107,"Customer experience manager NPS service recovery training process improvement","Customer Assistant Centre Manager role leading customer service center operations and team performance",5,1.0,"Strong CX management fit"
94,R094,J107,"Junior sales assistant showroom support cashiering stock","Customer Assistant Centre Manager role leading customer service center operations and team performance",2,0.4,"Some customer interaction but not center leadership"
95,R095,J108,"Compliance manager telecom reporting regulator submissions document tracking","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",5,1.0,"Strong reporting and telecom compliance match"
96,R096,J108,"Content writer blogs SEO copywriting editing","Regulatory Affairs Manager role focused on telecom compliance, licensing, and authority coordination",1,0.2,"Writing skills but wrong function"
97,R097,J102,"AI engineer transformers inference optimization APIs RAG prompt evaluation backend integration","Senior Full Stack AI Engineer role building enterprise applications powered by AI and modern full-stack technologies",5,1.0,"Excellent applied AI engineering sample"
98,R098,J101,"Product designer mobile app flows onboarding UX A/B testing interaction design","UI/UX Engineer role focused on user-centered interface design, wireframing, prototyping, and collaboration with product and development teams",5,1.0,"Very strong UI/UX mobile product fit"
99,R099,J104,"Corporate relationship manager proposals renewals negotiation service contracts telecom clients","B2B Sales Manager role focused on acquiring enterprise clients and meeting sales targets for telecom services",5,1.0,"Strong corporate telecom sales fit"
100,R100,J105,"Cloud consultant solution workshops migration roadmap stakeholder presentations deal support","Digital and Cloud Sales leadership role driving cloud and digital service revenue growth and go-to-market execution",4,0.8,"Good cloud domain fit with partial sales leadership"
101,R001,J001,Python SQL machine learning data analysis pandas scikit-learn built predictive models and dashboards,Looking for Python SQL machine learning data visualization statistics and analytics experience,5,1.0,Strong technical and domain match
102,R002,J001,Python Excel reporting business analysis communication data cleaning basic SQL,Looking for Python SQL machine learning data visualization statistics and analytics experience,3,0.6,Partial match but lacks ML depth
103,R003,J001,Accounting bookkeeping taxation payroll financial statements,Looking for Python SQL machine learning data visualization statistics and analytics experience,1,0.2,No relevant data science skills
104,R004,J002,HTML CSS JavaScript React responsive design Figma UI implementation,Looking for HTML CSS JavaScript React responsive design and frontend UI development,5,1.0,Excellent frontend match
105,R005,J002,Java Spring Boot MySQL REST API backend microservices,Looking for HTML CSS JavaScript React responsive design and frontend UI development,1,0.2,Mostly backend profile
